position1,acceleration1
212.441399,-9.710803
209.003429,-9.827668
210.682958,-9.770836
199.217192,-9.825303
219.842891,-9.993644
179.333276,-9.857435
217.7924,-9.828537
189.152786,-9.946179
187.015932,-9.981475
197.187207,-9.742354
197.695043,-9.775109
198.507448,-9.88045
197.497718,-9.963218
172.386929,-9.71306
195.173959,-9.723637
193.173252,-9.863734
191.638749,-9.816478
183.489659,-9.766731
183.08044,-9.833472
167.481522,-9.795615
175.592535,-9.641138
183.408061,-9.810333
153.926027,-9.696319
165.165473,-9.728551
151.976021,-9.877437
181.928488,-9.696265
169.306766,-9.86533
177.331991,-9.770295
155.202033,-9.812682
164.238886,-9.84208
162.641437,-9.708553
165.585489,-9.764209
154.010583,-9.824209
155.17048,-9.733943
126.95733,-9.752473
159.054469,-9.743478
136.094234,-9.809753
131.540323,-9.977121
117.400931,-9.77849
136.196397,-9.70436
133.563939,-9.850364
134.425165,-9.866581
135.466102,-9.818768
121.697266,-9.762812
135.718788,-9.779502
114.883731,-9.847634
103.268967,-9.672965
110.277874,-9.9292
104.318733,-9.935158
111.945221,-9.586114
112.546808,-9.779059
91.205648,-9.715404
105.592841,-9.886415
93.207334,-9.823684
107.498004,-9.652449
85.092016,-9.817019
90.045953,-9.856987
82.190674,-9.804332
82.350196,-10.010048
88.899522,-9.729157
70.88137,-9.861212
60.217949,-9.900508
62.104101,-9.853942
54.765005,-9.839205
73.658888,-9.872579
67.405863,-9.990606
70.774523,-9.882484
49.499895,-9.816482
59.95861,-9.897984
45.770504,-9.861956
56.889495,-9.841166
53.257084,-9.796514
45.599823,-9.803518
63.128524,-9.865225
24.083058,-9.916389
31.032311,-9.920776
30.406706,-9.774909
29.283134,-9.85301
32.651689,-9.755471
37.569998,-9.761339
9.004416,-9.72597
15.574859,-9.753698
-13.987296,-9.836399
-19.801073,0.00571
