position1,acceleration1
-0.988896,159.974243
-1.175658,160.123516
9.431652,159.984644
21.228159,160.015895
-21.225031,160.024674
10.661615,160.197947
4.927902,159.905722
-3.650114,159.877531
11.78322,75.15263
17.537007,-9.736118
49.593263,-9.858956
8.567883,-9.892614
52.632949,-9.827034
33.058749,-9.87423
45.960822,-9.76525
34.047248,-9.791896
29.768629,-10.109859
53.490612,-9.798844
58.165547,-9.898696
62.908963,-9.877601
52.123562,-9.789956
69.960204,-9.865833
58.729307,-9.930464
79.965981,-9.827841
68.89618,-9.877156
67.154041,-9.849075
52.802675,-9.961204
103.581664,-9.72962
87.57855,-9.831062
76.852335,-9.799676
87.130744,-9.918408
83.717465,-9.824169
82.815358,-9.694494
83.266354,-9.817422
77.190116,-9.708804
115.10434,-9.759126
111.738429,-9.794148
101.683059,-9.808451
102.086639,-9.835566
121.389098,-9.721829
89.767937,-9.76114
80.264574,-9.929542
106.791279,-9.684481
108.092113,-9.807109
139.018232,-9.744329
114.411666,-9.764078
106.5519,-9.696821
111.228283,-9.895483
126.059827,-9.826918
142.752243,-9.837781
105.859572,-9.677347
132.808034,-9.60103
132.192542,-9.842328
157.69713,-9.770312
170.827522,-9.93596
154.729337,-9.820909
159.316492,-9.893811
144.985337,-9.768442
142.493256,-9.628093
155.926424,-9.813006
168.14271,-9.775117
187.764291,-9.720822
166.495569,-9.895077
153.574165,-9.954679
155.658601,-9.813224
155.875654,-9.887717
179.051793,-9.688743
177.865873,-9.681124
176.987092,-9.870894
182.893196,-9.694266
177.874064,-9.928429
174.392775,-9.775251
187.941366,-9.804698
191.532348,-9.812445
173.925083,-9.860671
160.101821,-9.902899
181.885356,-9.83767
177.575886,-9.764435
182.341725,-9.78097
206.526952,-9.71668
187.338422,-9.866941
196.721701,-9.893415
234.102267,-9.794147
201.474126,-9.849955
190.794989,-9.724854
206.871905,-9.940538
188.42687,-9.856524
198.056952,-9.801672
202.079738,-9.861011
210.188197,-9.898771
225.921287,-9.713458
214.682206,-9.729728
211.79879,-9.657409
218.192695,-9.752468
202.335184,-9.859801
222.941199,-9.834801
211.71213,-9.777673
226.363729,-9.70403
217.393837,-9.827209
211.933336,-9.961051
203.297963,-9.900654
227.019269,-9.751849
231.759228,-9.809573
220.297793,-9.725984
211.922826,-9.771423
215.32166,-9.937468
242.690974,-9.697236
222.420186,-9.922632
235.640825,-9.817423
232.974033,-9.79818
246.023701,-9.772114
228.317831,-9.680129
236.024009,-9.715754
257.419503,-9.898857
246.271777,-9.896426
264.476163,-9.718001
241.754018,-9.75342
247.960188,-9.793786
253.670118,-9.813972
252.782393,-9.756651
230.493981,-9.852056
217.65374,-9.616502
249.930129,-9.813947
233.302273,-9.812866
269.643058,-9.843437
251.125838,-9.788985
253.564807,-9.797196
254.321405,-9.891541
259.902222,-9.726239
242.868418,-9.871159
246.092896,-9.889655
249.937796,-9.767446
260.337144,-9.852352
253.878506,-9.836393
242.011467,-9.941202
260.013577,-9.867403
252.163148,-9.753797
237.022214,-9.829968
249.638968,-9.814425
235.864202,-9.89999
240.697244,-9.9617
256.900132,-9.885072
226.970156,-9.858325
232.794953,-9.849467
266.839116,-9.714367
255.144074,-9.837206
257.830121,-9.693213
262.626315,-9.673551
265.089973,-9.796629
253.595971,-9.857778
260.070565,-9.800327
240.738512,-9.84789
246.09259,-9.830269
245.551869,-9.745838
241.12335,-9.739917
242.814046,-9.925803
254.276079,-9.911033
245.857297,-9.69686
250.203622,-9.85471
243.298648,-9.859877
248.472023,-9.673233
258.864669,-9.73983
226.331399,-9.698462
262.95089,-9.856359
253.020965,-9.662993
262.805899,-9.850083
257.959834,-9.799295
229.763824,-9.886997
242.663727,-9.795877
238.031556,-9.836175
225.837728,-9.768205
261.651528,-9.913353
237.672211,-9.913632
238.345029,-9.893304
251.659352,-9.878176
238.2423,-9.887033
237.614863,-9.860197
243.922077,-9.954494
245.549901,-9.890473
246.617777,-9.997405
243.089751,-9.956981
245.196544,-9.771705
229.512125,-9.913553
212.319629,-9.822137
256.162231,-9.876552
224.428843,-9.737563
249.530874,-10.021345
248.145077,-9.808785
239.434782,-9.670589
235.733133,-9.728573
228.883807,-9.74974
223.226418,-9.846851
219.082024,-9.505361
215.50985,-9.818765
214.949647,-9.717136
241.192479,-9.655522
194.888713,-9.833891
215.874366,-9.807554
212.30699,-9.84239
226.781064,-9.901157
217.645099,-9.744283
201.605506,-9.817368
227.314719,-9.980392
229.474576,-9.814169
