year,month,sunspot number
1873,6,74.8
1873,7,111.7
1873,8,113.8
1873,9,78.7
1873,10,78.6
1873,11,92.5
1873,12,82
1874,1,101.4
1874,2,107.1
1874,3,77.5
1874,4,53.5
1874,5,74.6
1874,6,63.8
1874,7,113.2
1874,8,102.3
1874,9,46.8
1874,10,57.4
1874,11,48.2
1874,12,48.8
1875,1,24.4
1875,2,35.9
1875,3,56.4
1875,4,48.6
1875,5,19.2
1875,6,39.9
1875,7,20.9
1875,8,24.4
1875,9,4
1875,10,21.3
1875,11,29.6
1875,12,16.5
1876,1,23.9
1876,2,25.1
1876,3,51.1
1876,4,3.9
1876,5,8.5
1876,6,2.7
1876,7,25.5
1876,8,14.8
1876,9,16.6
1876,10,23.9
1876,11,16.6
1876,12,13.6
1877,1,40.6
1877,2,14.5
1877,3,19.9
1877,4,26.3
1877,5,36.1
1877,6,23.6
1877,7,10
1877,8,10.5
1877,9,28.1
1877,10,11.2
1877,11,23.6
1877,12,3.5
1878,1,5.5
1878,2,11
1878,3,13.1
1878,4,0.2
1878,5,9.9
1878,6,10.7
1878,7,0.2
1878,8,0
1878,9,8.8
1878,10,1.9
1878,11,6.8
1878,12,0.9
1879,1,1.6
1879,2,0.9
1879,3,0
1879,4,10.4
1879,5,4
1879,6,8
